what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1408983766142
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1408983766164
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1408983766170
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1408983766181
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1408983766186
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1408983766188
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1408983766240
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1408983766279
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1408983766282
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408983768533
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408983770386
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.rename.element",1408983770410
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408983771315
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110815-1419,"org.eclipse.equinox.p2.garbagecollector",1408983974850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408984586558
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1408984589071
error,log,,,"Problems saving workspace",1408984590666
error,log,,,"Problems occurred while trying to save the state of the workbench.",1408984590667
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.restartWorkbench",1408984590751
stopped,bundle,org.eclipse.mylyn.ide.ant,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ant",1408984590818
stopped,bundle,org.eclipse.mylyn.pde.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.pde.ui",1408984590818
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1408984590819
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1408984590819
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1408984590819
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1408984590820
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1408984590820
stopped,bundle,org.eclipse.rap.ui.launch,1.4.2.20120213-1325,"org.eclipse.rap.ui.launch",1408984590821
stopped,bundle,org.eclipse.rap.ui.templates,1.4.2.20120213-1325,"org.eclipse.rap.ui.templates",1408984590821
stopped,bundle,org.eclipse.xtext.xtext.ui,2.0.1.v201108020636,"org.eclipse.xtext.xtext.ui",1408984590821
stopped,bundle,org.eclipse.wb.rcp.SWT_AWT,1.7.0.r37x201405021546,"org.eclipse.wb.rcp.SWT_AWT",1408984590821
stopped,bundle,org.eclipse.wb.rcp.databinding.emf,1.7.0.r37x201405021526,"org.eclipse.wb.rcp.databinding.emf",1408984590822
stopped,bundle,org.eclipse.wb.rcp.databinding.xwt,1.7.0.r37x201405021548,"org.eclipse.wb.rcp.databinding.xwt",1408984590822
stopped,bundle,org.eclipse.wb.rcp.databinding,1.7.0.r37x201405021526,"org.eclipse.wb.rcp.databinding",1408984590823
stopped,bundle,org.eclipse.wb.rcp.nebula,1.7.0.r37x201405021526,"org.eclipse.wb.rcp.nebula",1408984590823
stopped,bundle,org.eclipse.wb.rcp.swing2swt,1.7.0.r37x201405021526,"org.eclipse.wb.rcp.swing2swt",1408984590823
stopped,bundle,org.eclipse.wb.xwt,1.7.0.r37x201405021548,"org.eclipse.wb.xwt",1408984590823
stopped,bundle,org.eclipse.wb.rcp,1.7.0.r37x201405021526,"org.eclipse.wb.rcp",1408984590823
stopped,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1408984590823
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1408984590824
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.200.v201103302125,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1408984590824
